level,name,Total population_2019,Population under age 18_2019,Percent under age 18_2019,Population ages 18+_2019,Percent ages 18+_2019,Population ages 65+_2019,Percent ages 65+_2019,Latino population_2019,Percent Latino_2019,White population_2019,Percent white_2019,Black population_2019,Percent Black_2019,Other race population_2019,Percent other race_2019,Foreign-born population_2019,Percent foreign-born_2019,Total households_2019,Owner-occupied households_2019,Homeownership rate_2019,Cost-burdened households_2019,Cost-burden rate_2019,Poverty status known_2019,Population in poverty_2019,Poverty rate_2019,Low-income population_2019,Low-income rate_2019,"Under 18, poverty status known_2019",Children in poverty_2019,Child poverty rate_2019,Low-income children_2019,Child low-income rate_2019,"Ages 65+, poverty status known_2019",Seniors in poverty_2019,Senior poverty rate_2019,Low-income seniors_2019,Senior low-income rate_2019,Life expectancy_2010-2015,Coronary heart disease_2018,Current asthma_2018,Diabetes_2018,High blood pressure_2017,Annual checkup_2018,Dental visit_2018,Health insurance_2018,Current smoking_2018,Sleep <7 hours_2018
state,Connecticut,3575074,743833,0.21,2831241,0.79,601053,0.17,574240,0.16,2392013,0.67,354120,0.1,254701,0.07,520951,0.15,1370746,905681,0.66,476982,0.36,3470087,344146,0.1,785054,0.23,734377,97721,0.13,217508,0.3,580573,42069,0.07,123855,0.21,80.3,0.06,0.1,0.09,0.3,0.79,0.75,0.1,0.14,0.35
regions,Fairfield County,943926,214502,0.23,729424,0.77,146621,0.16,185996,0.2,582819,0.62,100262,0.11,74849,0.08,207839,0.22,340189,228111,0.67,130910,0.39,926424,82327,0.09,192720,0.21,212192,23444,0.11,55124,0.26,142050,10172,0.07,27284,0.19,81.6,0.05,0.09,0.08,0.27,0.78,0.74,0.1,0.12,0.33
towns,Bridgeport,145639,33671,0.23,111968,0.77,16526,0.11,59371,0.41,29254,0.2,46969,0.32,10045,0.07,44191,0.3,50638,21188,0.42,25956,0.53,141359,30848,0.22,65332,0.46,33292,10438,0.31,21032,0.63,15920,2211,0.14,6048,0.38,77.7,0.06,0.11,0.11,0.3,0.77,0.59,0.19,0.17,0.39
neighborhoods,Black Rock,8846,1441,0.16,7405,0.84,1188,0.13,1984,0.22,4520,0.51,1755,0.2,587,0.07,1978,0.22,3931,1367,0.35,1561,0.41,8846,1512,0.17,2585,0.29,1441,316,0.22,658,0.46,1188,119,0.1,221,0.19,80.4,0.05,0.1,0.09,0.26,0.76,0.67,0.15,0.15,0.36
neighborhoods,Brooklawn-St. Vincent,24629,5089,0.21,19540,0.79,3321,0.13,7862,0.32,7461,0.3,7358,0.3,1949,0.08,9001,0.37,8867,4093,0.46,4774,0.56,23659,3415,0.14,9037,0.38,5040,1035,0.21,2811,0.56,3180,278,0.09,1015,0.32,79.3,0.05,0.1,0.1,0.28,0.77,0.62,0.17,0.17,0.39
neighborhoods,Downtown,2300,165,0.07,2135,0.93,448,0.19,994,0.43,441,0.19,730,0.32,136,0.06,513,0.22,1253,56,0.04,466,0.38,2018,585,0.29,1113,0.55,163,55,0.34,96,0.59,446,120,0.27,345,0.77,73.4,0.07,0.11,0.13,0.33,0.79,0.57,0.18,0.17,0.39
neighborhoods,East End,9514,2992,0.31,6522,0.69,764,0.08,4098,0.43,273,0.03,4547,0.48,596,0.06,2112,0.22,3003,925,0.31,1590,0.55,9471,2302,0.24,5297,0.56,2966,958,0.32,2068,0.7,764,152,0.2,368,0.48,76.3,0.06,0.12,0.14,0.35,0.79,0.54,0.21,0.19,0.43
neighborhoods,East Side,14382,4146,0.29,10236,0.71,1141,0.08,8878,0.62,562,0.04,4264,0.3,677,0.05,3644,0.25,4537,1159,0.26,2675,0.61,14309,4174,0.29,8514,0.6,4131,1565,0.38,2801,0.68,1142,257,0.23,588,0.51,75.9,0.06,0.11,0.14,0.3,0.76,0.5,0.28,0.2,0.41
neighborhoods,Enterprise,652,171,0.26,481,0.74,68,0.1,210,0.32,129,0.2,280,0.43,35,0.05,280,0.43,226,77,0.34,135,0.6,653,82,0.13,292,0.45,169,21,0.12,101,0.6,69,4,0.06,30,0.43,76,0.05,0.11,0.11,0.29,0.76,0.58,0.2,0.18,0.4
neighborhoods,Hollow,9140,2492,0.27,6648,0.73,453,0.05,4427,0.48,1267,0.14,2968,0.32,481,0.05,3300,0.36,3097,386,0.12,1844,0.6,9114,3392,0.37,5825,0.64,2464,1445,0.59,2038,0.83,451,117,0.26,230,0.51,75.8,0.06,0.12,0.12,0.3,0.74,0.48,0.27,0.23,0.42
