level,name,Total population_2019,Population under age 18_2019,Percent under age 18_2019,Population ages 18+_2019,Percent ages 18+_2019,Population ages 65+_2019,Percent ages 65+_2019,Latino population_2019,Percent Latino_2019,White population_2019,Percent white_2019,Black population_2019,Percent Black_2019,Other race population_2019,Percent other race_2019,Foreign-born population_2019,Percent foreign-born_2019,Total households_2019,Owner-occupied households_2019,Homeownership rate_2019,Cost-burdened households_2019,Cost-burden rate_2019,Poverty status known_2019,Population in poverty_2019,Poverty rate_2019,Low-income population_2019,Low-income rate_2019,"Under 18, poverty status known_2019",Children in poverty_2019,Child poverty rate_2019,Low-income children_2019,Child low-income rate_2019,"Ages 65+, poverty status known_2019",Seniors in poverty_2019,Senior poverty rate_2019,Low-income seniors_2019,Senior low-income rate_2019,Life expectancy_2010-2015,Coronary heart disease_2018,Current asthma_2018,Diabetes_2018,High blood pressure_2017,Annual checkup_2018,Dental visit_2018,Health insurance_2018,Current smoking_2018,Sleep <7 hours_2018
state,Connecticut,3575074,743833,0.21,2831241,0.79,601053,0.17,574240,0.16,2392013,0.67,354120,0.1,254701,0.07,520951,0.15,1370746,905681,0.66,476982,0.36,3470087,344146,0.1,785054,0.23,734377,97721,0.13,217508,0.3,580573,42069,0.07,123855,0.21,80.3,0.06,0.1,0.09,0.3,0.79,0.75,0.1,0.14,0.35
regions,Greater Hartford,971871,200730,0.21,771141,0.79,160911,0.17,158793,0.16,617501,0.64,117089,0.12,78488,0.08,142424,0.15,376861,244624,0.65,122798,0.33,936013,97788,0.1,217505,0.23,198027,26744,0.14,60187,0.3,155421,12694,0.08,35227,0.23,79.9,0.06,0.1,0.09,0.3,0.79,0.76,0.1,0.14,0.35
towns,Hartford,123088,28963,0.24,94125,0.76,13868,0.11,54515,0.44,18263,0.15,43729,0.36,6581,0.05,26434,0.21,46690,11196,0.24,23055,0.51,116634,32801,0.28,62263,0.53,28550,10680,0.37,20048,0.7,13461,3191,0.24,6563,0.49,77.1,0.06,0.13,0.14,0.34,0.79,0.6,0.2,0.2,0.42
towns,West Hartford,63063,13902,0.22,49161,0.78,11579,0.18,7057,0.11,45961,0.73,3402,0.05,6643,0.11,10554,0.17,24726,17563,0.71,7187,0.3,61535,3938,0.06,8902,0.14,13851,998,0.07,2230,0.16,11002,854,0.08,2078,0.19,82.4,0.05,0.09,0.08,0.29,0.81,0.82,0.06,0.1,0.31
neighborhoods,Asylum Hill,9984,2095,0.21,7889,0.79,1090,0.11,2663,0.27,1517,0.15,4612,0.46,1192,0.12,2487,0.25,5205,669,0.13,2496,0.5,9818,2417,0.25,5286,0.54,2078,563,0.27,1616,0.78,1090,286,0.26,547,0.5,79.3,0.06,0.12,0.13,0.34,0.8,0.61,0.17,0.2,0.43
neighborhoods,Barry Square,15292,3510,0.23,11782,0.77,1166,0.08,9115,0.6,2480,0.16,2711,0.18,986,0.06,3286,0.21,4943,716,0.14,2963,0.62,13314,4441,0.33,8694,0.65,3451,1357,0.39,2601,0.75,1164,321,0.28,540,0.46,77.8,0.05,0.12,0.12,0.29,0.76,0.57,0.23,0.2,0.4
neighborhoods,Behind the Rocks,7956,1767,0.22,6189,0.78,864,0.11,4958,0.62,838,0.11,1758,0.22,402,0.05,1543,0.19,2857,906,0.32,1369,0.51,7896,2019,0.26,4270,0.54,1757,507,0.29,1179,0.67,831,174,0.21,318,0.38,77.9,0.06,0.12,0.15,0.33,0.77,0.57,0.25,0.2,0.41
neighborhoods,Bishops Corner West,7680,1773,0.23,5907,0.77,1661,0.22,551,0.07,5994,0.78,437,0.06,698,0.09,1265,0.16,2990,2407,0.81,722,0.24,7616,525,0.07,890,0.12,1763,151,0.09,180,0.1,1661,132,0.08,373,0.22,83.5,0.06,0.09,0.09,0.32,0.83,0.85,0.05,0.08,0.29
neighborhoods,Blue Hills,10715,1471,0.14,9244,0.86,1673,0.16,649,0.06,1857,0.17,7994,0.75,215,0.02,2962,0.28,3113,1936,0.62,1258,0.42,8165,1019,0.12,2813,0.34,1339,329,0.25,732,0.55,1673,175,0.1,572,0.34,77.2,0.05,0.14,0.12,0.35,0.82,0.67,0.12,0.16,0.42
neighborhoods,Buena Vista,2719,517,0.19,2202,0.81,668,0.25,152,0.06,2177,0.8,48,0.02,342,0.13,512,0.19,1124,1050,0.93,347,0.31,2719,77,0.03,228,0.08,517,0,0,41,0.08,668,31,0.05,95,0.14,83.1,0.06,0.09,0.09,0.33,0.83,0.85,0.05,0.09,0.3
neighborhoods,Clay Arsenal,6848,2578,0.38,4270,0.62,487,0.07,3945,0.58,103,0.02,2761,0.4,39,0.01,518,0.08,2378,216,0.09,1386,0.6,6842,3208,0.47,5156,0.75,2572,1535,0.6,2246,0.87,487,195,0.4,362,0.74,74.8,0.07,0.14,0.17,0.38,0.79,0.5,0.25,0.24,0.45
neighborhoods,Corbins Corner,4675,921,0.2,3754,0.8,933,0.2,524,0.11,2883,0.62,228,0.05,1040,0.22,1278,0.27,1833,1495,0.82,546,0.31,4675,228,0.05,681,0.15,921,42,0.05,94,0.1,933,60,0.06,208,0.22,81.9,0.06,0.1,0.1,0.32,0.81,0.78,0.08,0.12,0.33
neighborhoods,Downtown,2403,92,0.04,2311,0.96,202,0.08,354,0.15,1158,0.48,399,0.17,492,0.2,584,0.24,1625,221,0.14,537,0.34,2336,351,0.15,480,0.21,91,33,0.36,47,0.52,202,1,0,19,0.09,81.2,0.03,0.09,0.05,0.2,0.76,0.81,0.07,0.1,0.33
neighborhoods,Elizabeth Park,4312,1077,0.25,3235,0.75,779,0.18,259,0.06,3824,0.89,18,0,211,0.05,375,0.09,1561,1512,0.97,385,0.25,4312,192,0.04,267,0.06,1077,32,0.03,45,0.04,779,97,0.12,126,0.16,86.2,0.05,0.09,0.07,0.28,0.81,0.87,0.04,0.08,0.29
neighborhoods,Farmington East,10319,1751,0.17,8568,0.83,1942,0.19,1225,0.12,8027,0.78,489,0.05,578,0.06,1398,0.14,4733,2020,0.43,1600,0.35,10099,918,0.09,1838,0.18,1751,69,0.04,255,0.15,1743,231,0.13,430,0.25,83.5,0.05,0.1,0.08,0.28,0.8,0.81,0.07,0.11,0.32
neighborhoods,Frog Hollow,8721,2391,0.27,6330,0.73,761,0.09,5729,0.66,935,0.11,1854,0.21,203,0.02,1622,0.19,3233,360,0.11,1469,0.48,8656,2412,0.28,4795,0.55,2379,710,0.3,1588,0.67,761,338,0.44,545,0.72,75.9,0.06,0.12,0.14,0.32,0.76,0.55,0.26,0.21,0.41
