level,name,Total population_2019,Population under age 18_2019,Percent under age 18_2019,Population ages 18+_2019,Percent ages 18+_2019,Population ages 65+_2019,Percent ages 65+_2019,Latino population_2019,Percent Latino_2019,White population_2019,Percent white_2019,Black population_2019,Percent Black_2019,Other race population_2019,Percent other race_2019,Foreign-born population_2019,Percent foreign-born_2019,Total households_2019,Owner-occupied households_2019,Homeownership rate_2019,Cost-burdened households_2019,Cost-burden rate_2019,Poverty status known_2019,Population in poverty_2019,Poverty rate_2019,Low-income population_2019,Low-income rate_2019,"Under 18, poverty status known_2019",Children in poverty_2019,Child poverty rate_2019,Low-income children_2019,Child low-income rate_2019,"Ages 65+, poverty status known_2019",Seniors in poverty_2019,Senior poverty rate_2019,Low-income seniors_2019,Senior low-income rate_2019,Life expectancy_2010-2015,Coronary heart disease_2018,Current asthma_2018,Diabetes_2018,High blood pressure_2017,Annual checkup_2018,Dental visit_2018,Health insurance_2018,Current smoking_2018,Sleep <7 hours_2018
state,Connecticut,3575074,743833,0.21,2831241,0.79,601053,0.17,574240,0.16,2392013,0.67,354120,0.1,254701,0.07,520951,0.15,1370746,905681,0.66,476982,0.36,3470087,344146,0.1,785054,0.23,734377,97721,0.13,217508,0.3,580573,42069,0.07,123855,0.21,80.3,0.06,0.1,0.09,0.3,0.79,0.75,0.1,0.14,0.35
regions,Greater New Haven,463682,91868,0.2,371814,0.8,77514,0.17,75152,0.16,282354,0.61,70903,0.15,35273,0.08,62962,0.14,177208,106231,0.6,69183,0.4,444674,53560,0.12,113504,0.26,90930,15718,0.17,30830,0.34,75224,5393,0.07,16355,0.22,79.8,0.06,0.11,0.1,0.31,0.79,0.73,0.1,0.15,0.37
towns,New Haven,130331,29416,0.23,100915,0.77,13411,0.1,40683,0.31,38471,0.3,40717,0.31,10460,0.08,23256,0.18,49177,13757,0.28,25233,0.53,121744,32305,0.27,58786,0.48,29044,10513,0.36,18377,0.63,12925,2102,0.16,5218,0.4,78.2,0.06,0.13,0.12,0.31,0.78,0.63,0.16,0.19,0.42
neighborhoods,Amity,4730,1160,0.25,3570,0.75,449,0.09,762,0.16,1016,0.21,2463,0.52,489,0.1,406,0.09,1716,815,0.47,794,0.47,4730,1182,0.25,2205,0.47,1160,482,0.42,846,0.73,449,128,0.29,257,0.57,77,0.06,0.14,0.13,0.36,0.81,0.62,0.14,0.2,0.45
neighborhoods,Annex,7296,2157,0.3,5139,0.7,644,0.09,4657,0.64,1245,0.17,1108,0.15,286,0.04,1670,0.23,2338,854,0.37,1155,0.52,7208,1198,0.17,2929,0.41,2069,415,0.2,1047,0.51,644,72,0.11,249,0.39,80.4,0.05,0.12,0.11,0.29,0.76,0.63,0.18,0.19,0.42
neighborhoods,Beaver Hills,5251,1366,0.26,3885,0.74,603,0.11,1107,0.21,1019,0.19,2843,0.54,282,0.05,751,0.15,1858,775,0.42,892,0.53,5244,1014,0.19,2378,0.45,1235,329,0.27,780,0.63,557,26,0.05,80,0.14,75.4,0.05,0.13,0.11,0.34,0.81,0.68,0.12,0.17,0.44
neighborhoods,Dixwell,5149,1060,0.21,4089,0.79,573,0.11,1015,0.2,887,0.17,2844,0.55,403,0.08,540,0.1,1875,369,0.2,1075,0.58,4338,1417,0.33,2355,0.54,1045,482,0.46,723,0.69,564,111,0.2,301,0.53,73.2,0.06,0.14,0.15,0.39,0.8,0.56,0.17,0.22,0.47
neighborhoods,Downtown,10933,295,0.03,10638,0.97,489,0.04,1370,0.13,5778,0.53,1062,0.1,2722,0.25,2789,0.25,4397,391,0.09,1923,0.47,6814,1713,0.25,2390,0.35,249,64,0.26,92,0.37,472,21,0.04,120,0.25,79.2,0.02,0.11,0.04,0.15,0.73,0.74,0.09,0.12,0.37
neighborhoods,Dwight,3874,852,0.22,3022,0.78,240,0.06,988,0.26,1002,0.26,1479,0.38,405,0.1,428,0.11,1878,113,0.06,1039,0.59,3874,1149,0.3,2369,0.61,852,201,0.24,705,0.83,240,47,0.2,121,0.5,78,0.05,0.14,0.12,0.31,0.77,0.57,0.16,0.22,0.44
neighborhoods,East Rock,8709,1276,0.15,7433,0.85,868,0.1,1596,0.18,5178,0.59,688,0.08,1246,0.14,2637,0.3,3867,855,0.22,1679,0.44,8691,1593,0.18,3217,0.37,1357,220,0.16,616,0.45,879,48,0.05,238,0.27,82.8,0.03,0.1,0.06,0.21,0.75,0.76,0.09,0.12,0.36
